Team_Size,Offshore_Ratio,Microservice_Deps,Helm_Template_Lines,Repo_Code_Churn,IDP_API_Calls,GitOps_Auto_Sync,Manual_Kubectl_Count,Deployment_Cycle_Time
7,0.333,1,107.0,61.0,30.0,0,7.0,35.55
10,0.387,4,,181.0,39.0,0,16.0,56.79
7,0.029,15,885.0,411.0,0.0,0,31.0,104.07
7,0.161,5,279.0,60.0,0.0,0,24.0,72.92
13,0.348,1,178.0,197.0,34.0,1,13.0,45.68
7,0.305,10,568.0,269.0,52.0,1,9.0,46.89
15,0.315,9,321.0,285.0,18.0,0,18.0,71.32
7,0.335,12,805.0,348.0,10.0,0,23.0,85.75
7,0.572,1,20.0,137.0,29.0,0,8.0,55.93
12,0.465,3,,71.0,0.0,0,26.0,81.43
12,0.447,4,250.0,42.0,11.0,0,13.0,63.82
13,0.179,9,498.0,188.0,63.0,1,2.0,26.9
7,,15,922.0,327.0,67.0,0,19.0,79.28
12,0.306,7,502.0,147.0,32.0,0,17.0,67.8
14,0.512,1,20.0,5.0,90.0,1,0.0,13.39
15,0.283,11,771.0,338.0,88.0,1,12.0,50.04
12,0.225,3,245.0,285.0,77.0,1,0.0,14.78
10,0.439,13,891.0,268.0,0.0,0,20.0,86.58
8,0.316,2,187.0,142.0,0.0,0,29.0,78.17
10,0.277,1,88.0,47.0,27.0,0,11.0,48.39
4,0.199,6,387.0,165.0,31.0,0,17.0,60.52
8,0.423,1,20.0,5.0,47.0,1,11.0,36.06
10,0.251,15,952.0,539.0,40.0,0,22.0,88.45
5,0.497,5,242.0,298.0,0.0,0,22.0,74.92
11,0.484,7,444.0,246.0,72.0,1,14.0,51.14
13,0.641,12,790.0,303.0,15.0,1,23.0,83.61
14,0.426,6,430.0,171.0,10.0,1,16.0,65.04
11,0.134,4,117.0,169.0,0.0,0,21.0,69.96
13,0.347,10,528.0,185.0,42.0,1,9.0,47.9
3,0.35,8,447.0,227.0,47.0,1,5.0,39.91
4,0.317,14,892.0,410.0,42.0,1,16.0,66.62
6,0.314,5,,295.0,33.0,0,25.0,72.44
11,0.366,4,,184.0,0.0,0,22.0,70.54
6,0.199,4,145.0,140.0,74.0,1,9.0,29.4
10,0.79,4,246.0,5.0,65.0,1,0.0,19.79
13,0.213,5,214.0,135.0,35.0,1,9.0,45.0
8,0.582,6,294.0,35.0,39.0,1,5.0,36.25
10,0.377,8,509.0,378.0,43.0,1,14.0,67.6
4,0.227,5,295.0,300.0,8.0,0,24.0,76.57
14,0.3,14,793.0,409.0,0.0,0,40.0,120.51
5,0.242,7,,356.0,65.0,1,3.0,25.93
15,0.428,10,662.0,363.0,25.0,0,23.0,90.27
5,0.103,14,788.0,292.0,21.0,1,22.0,75.14
10,0.31,15,957.0,314.0,19.0,0,29.0,104.18
12,0.502,1,153.0,116.0,69.0,1,7.0,28.56
4,0.75,7,599.0,84.0,79.0,0,19.0,60.42
13,0.345,3,43.0,185.0,17.0,0,22.0,73.84
13,0.309,9,219.0,113.0,14.0,1,16.0,59.83
13,0.588,12,776.0,299.0,29.0,0,20.0,99.3
9,0.618,1,20.0,5.0,20.0,0,15.0,51.11
9,0.27,10,666.0,303.0,12.0,0,24.0,85.77
9,0.174,10,510.0,260.0,41.0,0,24.0,76.03
3,0.572,8,494.0,177.0,63.0,1,7.0,34.2
4,0.624,11,689.0,307.0,0.0,0,32.0,117.79
5,0.578,4,412.0,130.0,38.0,0,10.0,47.71
8,0.301,7,389.0,363.0,44.0,1,5.0,39.17
8,0.672,13,721.0,357.0,41.0,1,10.0,54.89
7,0.466,13,705.0,259.0,57.0,1,9.0,57.13
7,0.581,1,20.0,61.0,25.0,0,13.0,48.17
5,0.268,3,139.0,44.0,35.0,0,8.0,40.55
3,0.428,1,121.0,116.0,46.0,0,20.0,60.07
7,0.268,6,525.0,189.0,38.0,0,19.0,72.73
5,0.217,8,563.0,381.0,33.0,0,16.0,71.94
15,0.566,1,67.0,176.0,0.0,0,23.0,75.53
10,0.056,6,134.0,143.0,42.0,1,0.0,20.74
7,0.22,4,139.0,109.0,68.0,1,15.0,42.31
8,0.476,7,413.0,108.0,61.0,1,0.0,27.44
6,0.109,10,707.0,432.0,80.0,1,7.0,40.3
14,0.09,8,475.0,214.0,25.0,1,8.0,52.2
10,0.532,5,275.0,34.0,53.0,0,14.0,53.95
12,0.206,4,30.0,157.0,0.0,0,23.0,73.48
12,0.611,8,551.0,275.0,12.0,0,20.0,78.68
14,0.129,7,391.0,229.0,75.0,1,0.0,21.28
9,0.076,1,20.0,5.0,48.0,0,13.0,39.97
6,0.266,11,642.0,294.0,8.0,0,20.0,78.66
7,0.675,12,951.0,398.0,16.0,0,21.0,86.8
15,0.271,11,525.0,296.0,30.0,0,19.0,77.17
9,0.242,9,597.0,260.0,27.0,0,10.0,59.45
9,0.166,10,547.0,300.0,35.0,1,15.0,57.16
7,0.025,10,627.0,279.0,18.0,0,15.0,64.03
15,0.225,9,,195.0,13.0,1,15.0,60.49
15,0.262,1,20.0,94.0,22.0,1,5.0,30.51
9,0.677,14,774.0,329.0,6.0,0,22.0,100.86
4,0.557,4,277.0,164.0,66.0,1,6.0,29.59
11,0.829,1,275.0,34.0,,1,2.0,25.77
8,0.283,12,482.0,332.0,,0,16.0,65.99
6,0.428,1,20.0,53.0,10.0,1,19.0,51.86
7,0.162,17,1095.0,382.0,28.0,0,35.0,109.9
6,0.741,1,74.0,79.0,53.0,1,5.0,31.57
15,0.589,1,126.0,24.0,11.0,0,16.0,266.46
8,0.446,1,22.0,191.0,22.0,0,17.0,64.57
4,0.723,10,609.0,131.0,13.0,0,27.0,96.53
5,0.253,4,228.0,5.0,39.0,0,16.0,50.78
11,0.271,3,350.0,29.0,,1,7.0,37.99
8,0.362,11,,292.0,,1,5.0,48.15
15,0.378,1,20.0,33.0,20.0,1,8.0,32.6
12,0.276,1,20.0,40.0,32.0,0,12.0,43.97
14,,1,20.0,218.0,11.0,0,15.0,62.33
7,0.261,1,20.0,39.0,47.0,1,3.0,19.58
5,0.543,3,225.0,233.0,108.0,1,2.0,14.51
8,0.21,1,143.0,5.0,50.0,1,10.0,43.53
10,0.373,11,556.0,102.0,8.0,0,20.0,75.93
9,0.204,7,299.0,205.0,26.0,1,9.0,41.72
6,,9,591.0,324.0,72.0,1,6.0,41.46
8,0.241,6,275.0,350.0,78.0,1,10.0,33.71
11,0.597,4,50.0,131.0,51.0,1,5.0,28.68
10,0.673,5,205.0,136.0,33.0,0,16.0,60.42
10,0.65,12,583.0,334.0,21.0,0,22.0,83.78
12,0.611,13,727.0,388.0,45.0,0,16.0,74.31
15,0.16,5,397.0,119.0,67.0,0,10.0,42.66
10,0.166,1,20.0,5.0,34.0,1,1.0,21.31
11,0.098,6,374.0,259.0,26.0,0,19.0,67.84
14,0.24,6,480.0,,45.0,1,17.0,59.31
5,0.062,1,141.0,83.0,39.0,1,10.0,30.1
11,0.438,7,378.0,325.0,55.0,0,14.0,64.04
4,0.358,7,349.0,298.0,21.0,0,21.0,70.87
14,,7,441.0,117.0,43.0,1,2.0,44.47
15,0.43,8,,148.0,16.0,0,27.0,91.03
3,0.434,6,,178.0,52.0,1,9.0,34.2
10,0.526,10,417.0,308.0,75.0,1,15.0,55.7
6,0.219,7,610.0,282.0,61.0,0,14.0,59.16
6,0.599,9,,161.0,71.0,1,0.0,28.86
6,,1,70.0,5.0,46.0,0,12.0,48.3
5,0.137,15,935.0,347.0,59.0,1,15.0,57.58
9,0.238,1,20.0,148.0,8.0,0,10.0,48.2
3,0.611,5,401.0,118.0,63.0,1,4.0,32.23
14,0.269,8,418.0,260.0,,0,11.0,60.27
12,0.177,6,189.0,105.0,86.0,1,0.0,16.56
7,0.061,2,20.0,143.0,51.0,0,9.0,33.3
12,0.379,10,554.0,321.0,7.0,1,20.0,73.32
14,0.281,8,441.0,362.0,38.0,0,21.0,77.94
6,0.396,4,94.0,62.0,33.0,1,12.0,47.66
10,0.859,1,91.0,62.0,46.0,1,0.0,19.44
10,0.53,8,454.0,77.0,31.0,0,14.0,62.23
4,0.433,1,20.0,5.0,58.0,1,0.0,12.09
14,0.635,1,,122.0,89.0,0,0.0,19.69
9,0.444,4,234.0,257.0,31.0,0,11.0,54.91
11,0.35,1,102.0,123.0,33.0,0,13.0,57.53
9,0.235,1,96.0,138.0,40.0,0,13.0,51.83
13,0.725,1,20.0,29.0,1.0,0,5.0,46.79
5,0.682,11,624.0,175.0,19.0,0,21.0,81.04
8,,15,983.0,381.0,36.0,1,26.0,87.5
14,0.097,1,182.0,114.0,10.0,1,13.0,45.13
13,0.594,9,601.0,192.0,39.0,0,20.0,73.43
12,0.478,4,218.0,63.0,53.0,1,15.0,57.46
15,0.409,12,661.0,344.0,45.0,0,16.0,70.54
14,0.26,19,1179.0,575.0,19.0,0,32.0,114.68
3,0.672,9,466.0,42.0,17.0,0,17.0,74.87
4,0.307,3,168.0,116.0,77.0,1,6.0,30.63
12,0.887,1,20.0,123.0,17.0,0,5.0,46.59
4,0.286,7,335.0,170.0,15.0,0,15.0,68.28
4,0.854,4,236.0,277.0,30.0,0,14.0,60.24
6,0.137,16,941.0,362.0,49.0,1,14.0,61.8
14,0.611,9,561.0,394.0,75.0,0,14.0,65.18
3,0.473,6,297.0,327.0,2.0,0,16.0,64.26
12,0.471,11,727.0,391.0,37.0,0,21.0,84.48
9,0.33,2,282.0,208.0,10.0,0,21.0,80.19
12,0.323,6,391.0,245.0,79.0,1,8.0,36.05
5,0.271,6,359.0,228.0,45.0,1,7.0,35.02
13,0.219,10,476.0,166.0,8.0,0,18.0,78.8
12,0.025,3,173.0,231.0,26.0,1,7.0,32.27
10,0.376,1,20.0,5.0,17.0,0,16.0,55.31
13,0.247,1,121.0,127.0,13.0,0,10.0,46.73
15,0.216,1,20.0,110.0,2.0,0,17.0,61.37
12,0.328,1,20.0,170.0,17.0,0,14.0,55.79
5,0.267,3,215.0,131.0,0.0,0,12.0,52.29
8,0.246,5,323.0,,49.0,0,4.0,36.84
5,0.336,5,372.0,223.0,36.0,0,12.0,53.56
14,0.514,9,482.0,,78.0,1,5.0,35.46
14,0.573,2,236.0,219.0,39.0,1,8.0,37.6
12,0.585,5,370.0,234.0,1.0,0,27.0,86.49
9,0.285,1,57.0,5.0,42.0,0,15.0,59.73
4,0.75,6,315.0,259.0,30.0,1,12.0,51.84
11,0.196,4,225.0,190.0,,1,7.0,24.73
12,0.242,10,597.0,284.0,68.0,1,7.0,43.09
3,,7,481.0,349.0,58.0,0,8.0,48.13
10,0.129,6,352.0,150.0,42.0,0,16.0,57.78
13,0.429,3,243.0,188.0,34.0,0,16.0,60.61
13,0.143,9,422.0,373.0,46.0,1,8.0,54.34
6,0.555,8,589.0,102.0,4.0,0,28.0,88.65
14,0.28,9,469.0,375.0,11.0,0,27.0,91.4
7,0.352,10,507.0,177.0,37.0,0,15.0,62.97
9,0.735,5,365.0,5.0,77.0,1,0.0,20.04
6,0.661,1,96.0,,66.0,0,6.0,29.07
4,0.38,12,527.0,371.0,58.0,1,4.0,47.38
9,0.614,12,755.0,423.0,102.0,1,2.0,34.58
3,0.364,8,442.0,119.0,0.0,1,12.0,51.28
13,0.512,1,142.0,,55.0,0,12.0,47.61
12,0.498,9,470.0,284.0,33.0,1,6.0,66.19
6,0.596,5,378.0,234.0,35.0,0,22.0,79.95
14,0.566,11,481.0,270.0,39.0,0,12.0,68.39
14,0.655,9,434.0,,59.0,0,12.0,58.77
5,0.379,6,202.0,126.0,24.0,0,17.0,60.12
3,0.308,1,20.0,31.0,64.0,1,2.0,12.51
10,0.336,8,581.0,250.0,0.0,0,36.0,113.77
14,0.38,7,426.0,133.0,57.0,0,11.0,50.25
6,0.364,3,112.0,46.0,32.0,0,18.0,55.33
15,0.453,7,,209.0,31.0,1,19.0,64.44
9,0.217,1,20.0,95.0,119.0,1,0.0,2.97
5,0.535,10,474.0,151.0,50.0,0,15.0,59.06
9,0.1,12,660.0,373.0,0.0,0,36.0,115.52
15,0.556,12,771.0,382.0,0.0,0,40.0,133.41
11,0.177,8,509.0,152.0,37.0,0,22.0,71.7
8,0.271,11,652.0,226.0,0.0,0,20.0,83.87
9,0.159,7,507.0,49.0,65.0,1,2.0,33.85
12,0.608,1,90.0,5.0,59.0,0,12.0,40.26
10,0.662,17,890.0,414.0,49.0,1,24.0,87.68
13,0.315,1,20.0,281.0,41.0,0,5.0,34.31
3,0.648,5,356.0,213.0,32.0,0,20.0,72.36
4,0.459,9,395.0,100.0,32.0,1,18.0,57.9
9,0.304,1,,40.0,57.0,0,16.0,46.83
5,0.618,14,758.0,359.0,64.0,1,12.0,69.41
13,0.306,9,633.0,380.0,52.0,0,19.0,70.58
9,0.669,1,34.0,15.0,39.0,0,5.0,40.22
6,0.327,1,72.0,,55.0,0,8.0,33.42
3,0.276,5,274.0,,34.0,1,16.0,43.74
7,,2,244.0,32.0,0.0,0,26.0,85.97
6,0.31,15,,335.0,5.0,0,22.0,97.07
5,,1,173.0,62.0,76.0,1,4.0,22.77
14,0.593,2,23.0,100.0,30.0,0,8.0,42.05
7,0.469,8,519.0,236.0,0.0,0,23.0,85.81
5,0.374,9,539.0,220.0,59.0,0,18.0,63.76
13,0.374,1,,115.0,53.0,1,9.0,31.93
8,0.503,13,730.0,349.0,67.0,1,11.0,55.24
6,,9,417.0,378.0,13.0,1,15.0,63.74
13,0.658,1,20.0,156.0,29.0,1,14.0,50.0
3,0.547,4,280.0,57.0,39.0,0,11.0,44.7
14,0.161,17,1047.0,565.0,0.0,0,36.0,126.07
3,0.751,7,378.0,130.0,82.0,1,0.0,20.2
12,0.094,1,20.0,5.0,25.0,0,17.0,50.65
9,0.618,9,374.0,269.0,66.0,0,8.0,49.64
3,0.393,2,20.0,32.0,98.0,1,0.0,3.69
6,0.662,6,467.0,235.0,24.0,0,14.0,65.04
5,0.28,8,612.0,300.0,0.0,0,26.0,86.17
12,0.545,1,20.0,,21.0,0,10.0,47.85
13,0.136,7,388.0,187.0,67.0,1,5.0,30.04
3,0.675,1,101.0,73.0,31.0,1,11.0,37.83
3,0.209,3,181.0,207.0,80.0,1,8.0,22.82
3,0.701,11,642.0,180.0,36.0,0,17.0,70.2
15,0.259,1,89.0,237.0,54.0,1,7.0,27.4
9,0.479,3,235.0,114.0,45.0,0,15.0,56.9
12,0.473,9,471.0,302.0,5.0,0,23.0,84.97
8,0.605,6,238.0,93.0,56.0,0,10.0,46.47
13,0.178,9,647.0,295.0,30.0,0,17.0,84.14
10,0.215,2,69.0,132.0,34.0,1,0.0,22.16
4,0.401,5,285.0,136.0,3.0,0,27.0,85.95
10,0.596,1,31.0,67.0,28.0,0,14.0,54.5
13,0.345,12,926.0,397.0,19.0,0,22.0,89.28
15,0.126,11,719.0,312.0,76.0,1,8.0,41.87
6,0.537,3,198.0,68.0,58.0,1,1.0,21.2
15,0.508,12,680.0,370.0,78.0,1,7.0,44.98
3,0.261,7,522.0,177.0,101.0,1,0.0,25.24
8,0.696,2,109.0,195.0,,1,14.0,46.87
4,0.17,1,160.0,,49.0,1,11.0,36.91
12,0.578,1,126.0,148.0,61.0,1,7.0,29.75
12,0.2,2,164.0,141.0,52.0,1,13.0,37.3
15,0.347,10,412.0,311.0,0.0,0,15.0,92.08
6,0.316,3,144.0,124.0,0.0,0,28.0,89.69
5,0.313,5,377.0,109.0,18.0,0,9.0,62.18
11,0.604,1,146.0,148.0,57.0,0,8.0,37.2
7,0.266,4,156.0,154.0,71.0,1,0.0,17.68
8,0.516,3,89.0,135.0,48.0,0,10.0,49.93
8,0.188,9,644.0,280.0,45.0,1,14.0,55.68
6,0.116,11,734.0,352.0,32.0,0,16.0,68.7
13,0.425,16,861.0,400.0,98.0,1,0.0,41.18
14,0.237,12,682.0,306.0,54.0,0,18.0,73.85
4,0.287,1,20.0,103.0,51.0,0,8.0,38.02
9,0.278,2,134.0,102.0,16.0,0,17.0,60.59
8,0.518,13,788.0,,68.0,1,2.0,40.15
6,0.44,2,314.0,108.0,27.0,0,17.0,61.05
9,0.177,8,383.0,256.0,39.0,0,16.0,60.92
12,0.425,6,351.0,263.0,40.0,0,13.0,57.49
6,0.458,10,607.0,,0.0,0,33.0,106.86
7,0.458,12,630.0,319.0,3.0,0,31.0,103.81
7,0.665,7,472.0,158.0,105.0,1,1.0,24.66
8,0.268,3,67.0,20.0,76.0,1,0.0,10.6
12,0.183,3,,92.0,79.0,1,1.0,13.46
9,0.617,16,771.0,326.0,17.0,0,15.0,81.63
11,0.688,5,315.0,102.0,35.0,1,10.0,46.78
3,0.414,11,654.0,374.0,35.0,1,14.0,59.56
6,0.713,15,803.0,439.0,45.0,0,20.0,86.82
10,0.438,8,501.0,,35.0,0,15.0,64.65
3,0.514,6,361.0,153.0,69.0,1,2.0,26.82
7,0.486,2,195.0,125.0,27.0,0,16.0,68.44
9,0.198,4,377.0,108.0,88.0,0,10.0,45.26
12,0.381,12,701.0,337.0,10.0,0,25.0,91.66
9,0.652,5,355.0,192.0,21.0,1,23.0,66.29
10,0.339,1,124.0,124.0,24.0,1,9.0,33.1
14,0.357,5,380.0,306.0,22.0,1,18.0,63.54
12,0.873,14,790.0,279.0,89.0,1,9.0,50.21
5,0.207,10,629.0,378.0,11.0,0,30.0,99.39
15,0.508,11,632.0,450.0,47.0,1,16.0,439.89
5,0.81,6,346.0,255.0,24.0,1,13.0,51.77
15,0.447,3,195.0,165.0,11.0,1,17.0,54.38
4,0.278,7,589.0,117.0,64.0,0,0.0,26.19
10,0.336,14,956.0,355.0,38.0,0,15.0,76.22
9,0.236,4,160.0,142.0,76.0,0,2.0,32.94
4,0.219,1,20.0,91.0,57.0,0,5.0,30.45
11,0.134,1,20.0,,44.0,0,8.0,37.7
6,0.175,1,20.0,5.0,0.0,0,16.0,53.12
15,0.36,1,240.0,199.0,46.0,0,12.0,53.58
10,0.61,11,695.0,226.0,29.0,0,21.0,78.0
7,0.383,4,240.0,117.0,76.0,1,0.0,18.79
12,0.561,4,120.0,110.0,46.0,1,5.0,37.42
7,0.105,18,906.0,407.0,,1,21.0,80.8
4,0.322,5,,275.0,10.0,0,25.0,77.15
15,0.581,1,84.0,5.0,74.0,1,0.0,13.93
12,,5,473.0,139.0,53.0,1,5.0,42.66
